物品类型：1.金币																								
入口	0	常规	1潇湘冬儿																					
																								
																								
输出符	渠道	礼包类型	子渠道组	入口	礼包名字	限制领取次数	通过邮件	物品1类型	物品1名称	物品1数量	物品2类型	物品2名称	物品2数量	物品3类型	物品3名称	物品3数量	物品4类型	物品4名称	物品4数量	物品5类型	物品5名称	物品5数量		
^MsgCfgGiftData	sint32:Channel	sint32:Mtype	sint32:Changroup	sint32:Door	.	sint32:Limit	bool:Bymail	[]CPriceItem:Awards.0.Mtype	:Awards.0.Oriname	:Awards.0.Count	:Awards.1.Mtype	:Awards.1.Oriname	:Awards.1.Count	:Awards.2.Mtype	:Awards.2.Oriname	:Awards.2.Count	:Awards.3.Mtype	:Awards.3.Oriname	:Awards.3.Count	:Awards.4.Mtype	:Awards.4.Oriname	:Awards.4.Count	.	sint32:I18Nid	.key:0,1
#	0	101	1	0	普发礼包	1	1	3	FZHB001	100	3	FZHB002	100000	0	0	0	0	0	0	0	0	0	|...|	200339
#	0	102	2	0	普发礼包	1	1	3	FZHB001	100	3	FZHB002	100000	0	0	0	0	0	0	0	0	0	|...|	200339
#	0	103	3	0	普发礼包	1	1	3	FZHB001	100	3	FZHB002	100000	0	0	0	0	0	0	0	0	0	|...|	200339
#	0	104	4	0	普发礼包	1	1	3	FZHB001	100	3	FZHB002	100000	0	0	0	0	0	0	0	0	0	|...|	200339
#	0	105	5	0	普发礼包	1	1	3	FZHB001	100	3	FZHB002	100000	0	0	0	0	0	0	0	0	0	|...|	200339
#	0	106	6	0	普发礼包	1	1	3	FZHB001	100	3	FZHB002	100000	0	0	0	0	0	0	0	0	0	|...|	200339
#	0	107	1	0	独家礼包	1	1	3	FZHB001	200	3	FZHB002	300000	0	0	0	0	0	0	0	0	0	|...|	200340
#	0	108	2	0	独家礼包	1	1	3	FZHB001	200	3	FZHB002	300000	0	0	0	0	0	0	0	0	0	|...|	200340
#	0	109	3	0	独家礼包	1	1	3	FZHB001	200	3	FZHB002	300000	0	0	0	0	0	0	0	0	0	|...|	200340
#	0	110	4	0	独家礼包	1	1	3	FZHB001	200	3	FZHB002	300000	0	0	0	0	0	0	0	0	0	|...|	200340
#	0	111	5	0	独家礼包	1	1	3	FZHB001	200	3	FZHB002	300000	0	0	0	0	0	0	0	0	0	|...|	200340
#	0	112	6	0	独家礼包	1	1	3	FZHB001	200	3	FZHB002	300000	0	0	0	0	0	0	0	0	0	|...|	200340
#	0	113	1	0	开测特权礼包	1	1	3	ZHDJ002	1	3	SJCL001	10000	0	0	0	0	0	0	0	0	0	|...|	200341
#	0	114	2	0	开测特权礼包	1	1	3	ZHDJ002	1	3	SJCL001	10000	0	0	0	0	0	0	0	0	0	|...|	200341
#	0	115	3	0	开测特权礼包	1	1	3	ZHDJ002	1	3	SJCL001	10000	0	0	0	0	0	0	0	0	0	|...|	200341
#	0	116	4	0	开测特权礼包	1	1	3	ZHDJ002	1	3	SJCL001	10000	0	0	0	0	0	0	0	0	0	|...|	200341
#	0	117	5	0	开测特权礼包	1	1	3	ZHDJ002	1	3	SJCL001	10000	0	0	0	0	0	0	0	0	0	|...|	200341
#	0	118	6	0	开测特权礼包	1	1	3	ZHDJ002	1	3	SJCL001	10000	0	0	0	0	0	0	0	0	0	|...|	200341
#	0	119	0	0	BUG奖励礼包	999	1	3	FZHB002	100000	3	SPCL001	20	0	0	0	0	0	0	0	0	0	|...|	200345
#	0	120	0	0	BUG奖励礼包	999	1	3	FZHB002	200000	3	ZHDJ002	3	0	0	0	0	0	0	0	0	0	|...|	200345
#	0	121	0	0	BUG奖励礼包	999	1	3	FZHB002	100000	3	SPCL001	30	0	0	0	0	0	0	0	0	0	|...|	200345
#	0	122	0	0	BUG奖励大礼包	999	1	3	FZHB002	300000	3	ZHDJ002	2	0	0	0	0	0	0	0	0	0	|...|	200358
#	0	123	0	0	Q群加群礼包	999	1	3	FZHB002	100000	3	SJCL001	60000	3	ZHDJ002	1	3	FZHB001	200	0	0	0	|...|	200359
#	0	124	0	0	官方群七夕礼包	1	1	3	FZHB002	77000	3	SJCL001	77000	3	ZHDJ002	3	0	0	0	0	0	0	|...|	200360
#	0	125	0	0	BUG奖励礼包	1	1	3	FZHB002	100000	3	ZPB001	3	0	0	0	0	0	0	0	0	0	|...|	200345
#	0	126	0	0	BUG奖励大礼包	1	1	3	FZHB002	150000	3	ZHDJ002	1	3	ZPB002	1	0	0	0	0	0	0	|...|	200358
#	0	127	0	0	渠道礼包	1	1	3	FZHB002	50000	3	SJCL001	50000	0	0	0	0	0	0	0	0	0	|...|	200367
#	0	128	0	0	渠道专属礼包	1	1	3	FZHB002	100000	3	ZHDJ002	1	3	ZPB001	5	0	0	0	0	0	0	|...|	200368
#	0	129	0	0	渠道特权礼包	1	1	3	FZHB001	200	3	ZPB002	1	0	0	0	0	0	0	0	0	0	|...|	200369
#	0	130	0	0	BUG奖励礼包	1	1	3	FZHB002	100000	3	ZHDJ002	1	0	0	0	0	0	0	0	0	0	|...|	200345
#	0	131	0	0	BUG奖励大礼包	1	1	3	FZHB002	300000	3	FZHB001	500	0	0	0	0	0	0	0	0	0	|...|	200358
#	0	132	0	0	Q群活动礼包	1	1	3	ZPB002	1	3	ZHDJ002	1	0	0	0	0	0	0	0	0	0	|...|	200398
#	0	133	0	0	Q群活动礼包	1	1	3	FZHB001	500	0	0	0	0	0	0	0	0	0	0	0	0	|...|	200398
