说明:ID大于等于1000的角色不会在角色列表中显示																																																					
ID大于等于1500以上的是教学英雄																																																					
性别：1、男；2、女；3、无																																																					
阵营：1.魔导士公会；2.黑暗公会																																																					
职业：1、力量型；2、敏捷型；3、智力型；4、全能型																																																					
英雄类型：1.剧情角色；2.常规角色；3.boss角色																																																					
品质：1.n；2.r；3.sr；4.ssr；5.ur																																																					
角色攻击类型：1.物理攻击；2.魔法攻击																																																					
																																																					
^MsgHeroCfg	uint32:ID	.	.	.	.	.	.	.	uint32:Type	uint32:ZhengY	uint32:Job	.	.	.	.	float:Atk	float:AtkGrow	float:DefPhy	float:DefPhyGrow	float:DefMagic	float:DefMagicGrow	float:HP	float:HPGrow	.	.	float:AtkSpeed	float:Speed	float:HPHuiFu	float:MPHuiFu	uint32:WuQi	uint32:FangJu	uint32:SouSi	uint32:Xie	[]uint32:Skill	:Skill	:Skill	:Skill	:Skill	:Skill	:Skill	:Skill	:Skill	.	.	.	.	.	.	.	.	.	.	.
输出符	ID	是否显示在图鉴中	英雄名称	性别	定位说明	生平介绍	武将碎片原始名	合成初始星级	英雄类型	阵营	职业	品质	射程	靠近距离	角色攻击类型	初始攻击力	攻击成长值	初始物理防御力	物理防御力成长值	初始魔法防御力	魔法防御力成长值	初始血量	血量成长值	暴击率	暴击伤害率	攻击速度	移动速度	后援血量回复(百分比)	后援能量回复(百分比)	初始武器ID	初始防具ID	初始首饰ID	初始靴子ID	普通攻击 	技能1	技能2	技能3	技能4	被动1	被动2	队长技能	奥义1	模型ID	模型显示比例	大头像图集	大头像ID	小头像图集	小头像ID	获取语音	点击语音	战斗语音	技能语音	
#	101	1	格雷	1	高回复，群体输出坦克	格雷	0	0	0	1	2	3	1	2	2	500	5	20	5	10	2	12000	100	500	15000	1	8	0	0	0	0	0	0	1010106	1010101	1010102	1010103	1010104	1010111	0	0	0	Role_Gray	1	TouXiang_1	touxiang_gelei	TouXiang_1	touxiang_gelei_b	0	0	0	0	|...|
#	102	1	露西	2	高回复，群体输出坦克	露西	0	0	0	1	2	3	1	2	1	500	5	10	2	20	5	12000	100	500	15000	1	8	0	0	0	0	0	0	1010206	1010201	1010202	1010203	1010204	0	0	0	0	Role_Lucy	1	TouXiang_1	TX_002	TouXiang_1	TX_002	0	0	0	0	|...|
#	103	1	纳兹	1	高回复，群体输出坦克	纳兹	0	0	0	1	2	3	1	2	1	500	5	20	5	10	2	12000	100	500	15000	1	8	0	0	0	0	0	0	1010306	1010301	1010302	1010303	1010304	1010311	0	0	0	Role_Natsu	1	TouXiang_1	touxiang_nazi	TouXiang_1	touxiang_nazi_b	0	0	0	0	|...|
#	104	1	艾露莎	2	高回复，群体输出坦克	艾露莎	0	0	0	1	2	3	1	2	1	500	5	10	2	20	5	12000	100	500	15000	1	8	0	0	0	0	0	0	1010406	1010401	1010402	1010403	1010404	1010411_1010412	0	0	0	Role_Erza	1	TouXiang_1	touxiang_ailusha	TouXiang_1	touxiang_ailusha_b	0	0	0	0	|...|
#	105	1	艾利高尔	1	高回复，群体输出坦克	艾利高尔	0	0	0	1	2	3	1	2	2	500	5	20	5	10	2	12000	100	500	15000	1	8	0	0	0	0	0	0	1010506	1010501	1010502	1010503	1010504	1010511	0	0	0	Role_Ailey	1	TouXiang_1	TX_003	TouXiang_1	TX_003	0	0	0	0	|...|
#	106	1	索尔	1	高回复，群体输出坦克	索尔	0	0	0	1	2	3	1	2	2	500	5	10	2	20	5	12000	100	500	15000	1	8	0	0	0	0	0	0	1010606	1010601	1010602	1010603	1010604	0	0	0	0	Role_Sor	1	TouXiang_1	TX_003	TouXiang_1	TX_003	0	0	0	0	|...|
#	107	1	戈吉尔	1	高回复，群体输出坦克	戈吉尔	0	0	0	1	2	3	1	2	1	500	5	20	5	10	2	12000	100	500	15000	1	8	0	0	0	0	0	0	1010706	1010701	1010702	1010703	1010704	0	0	0	0	Role_Gageel	1	TouXiang_1	TX_003	TouXiang_1	TX_003	0	0	0	0	|...|
#	108	1	雪莉	1	高回复，群体输出坦克	雪莉	0	0	0	1	2	3	1	2	1	500	5	10	2	20	5	12000	100	500	15000	1	8	0	0	0	0	0	0	1010806	1010801	1010802	1010803	1010804	0	0	0	0	Role_Shirley	1	TouXiang_1	TX_003	TouXiang_1	TX_003	0	0	0	0	|...|
#	109	1	茱比亚	1	高回复，群体输出坦克	茱比亚	0	0	0	1	2	3	1	2	2	500	5	20	5	10	2	12000	100	500	15000	1	8	0	0	0	0	0	0	1010906	1010901	1010902	1010903	1010904	0	0	0	0	Role_Juvia	1	TouXiang_1	TX_003	TouXiang_1	TX_003	0	0	0	0	|...|
#	110	1	兔兔丸	1	高回复，群体输出坦克	兔兔丸	0	0	0	1	2	3	1	2	2	500	5	10	2	20	5	12000	100	500	15000	1	8	0	0	0	0	0	0	1011006	1011001	1011002	1011003	1011004	0	0	0	0	Role_Tutu	1	TouXiang_1	TX_003	TouXiang_1	TX_003	0	0	0	0	|...|
#	111	1	阿利亚	1	高回复，群体输出坦克	阿利亚	0	0	0	1	2	3	1	2	1	500	5	20	5	10	2	12000	100	500	15000	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Role_Alia	1	TouXiang_1	TX_003	TouXiang_1	TX_003	0	0	0	0	|...|
#	112	1	利昂	1	高回复，群体输出坦克	利昂	0	0	0	1	2	3	1	2	2	500	5	10	2	20	5	12000	100	500	15000	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Role_Lyon	1	TouXiang_1	TX_003	TouXiang_1	TX_003	0	0	0	0	|...|
#	113	1	拉格萨斯	1	高回复，群体输出坦克	拉格萨斯	0	0	0	1	2	3	1	2	2	500	5	20	5	10	2	12000	100	500	15000	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Role_Luxus	1	TouXiang_1	TX_003	TouXiang_1	TX_003	0	0	0	0	|...|
#	114	1	温蒂	1	高回复，群体输出坦克	温蒂	0	0	0	1	2	3	1	2	2	500	5	10	2	20	5	12000	100	500	15000	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Role_Wendy	1	TouXiang_1	TX_003	TouXiang_1	TX_003	0	0	0	0	|...|
	115	1	眼镜蛇	1	高回复，群体输出坦克	眼镜蛇	0	0	0	1	2	3	1	2	1	500	5	20	5	10	2	12000	100	500	15000	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Role_Sor	1	TouXiang_1	TX_003	TouXiang_1	TX_003	0	0	0	0	|...|
	116	1	热眼	1	高回复，群体输出坦克	热眼	0	0	0	1	2	3	1	2	1	500	5	10	2	20	5	12000	100	500	15000	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Role_Sor	1	TouXiang_1	TX_003	TouXiang_1	TX_003	0	0	0	0	|...|
	117	1	首脑	1	高回复，群体输出坦克	首脑	0	0	0	1	2	3	1	2	1	500	5	20	5	10	2	12000	100	500	15000	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Role_Sor	1	TouXiang_1	TX_003	TouXiang_1	TX_003	0	0	0	0	|...|
	118	1	天使	1	高回复，群体输出坦克	天使	0	0	0	1	2	3	1	2	1	500	5	10	2	20	5	12000	100	500	15000	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Role_Sor	1	TouXiang_1	TX_003	TouXiang_1	TX_003	0	0	0	0	|...|
	119	1	一夜	1	高回复，群体输出坦克	一夜	0	0	0	1	2	3	1	2	1	500	5	20	5	10	2	12000	100	500	15000	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Role_Sor	1	TouXiang_1	TX_003	TouXiang_1	TX_003	0	0	0	0	|...|
	120	1	乌璐缇雅	1	高回复，群体输出坦克	乌璐缇雅	0	0	0	1	2	3	1	2	1	500	5	10	2	20	5	12000	100	500	15000	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Role_Sor	1	TouXiang_1	TX_003	TouXiang_1	TX_003	0	0	0	0	|...|
