	英雄类型	角色等级	升到下一等级所需经验点	当前等级属性总系数	
^MsgHeroLevelCfg	uint32:Type	uint32:Level	uint32:NeedExp	float:Rate	.key:0,1
#	0	1	100	1	
#	0	2	150	2	
#	0	3	200	3	
#	0	4	250	4	
#	0	5	300	5	
#	0	6	350	6	
#	0	7	400	7	
#	0	8	450	8	
#	0	9	500	9	
#	0	10	550	10	
#	0	11	600	11	
#	0	12	650	12	
#	0	13	700	13	
#	0	14	750	14	
#	0	15	800	15	
#	0	16	850	16	
#	0	17	900	17	
#	0	18	950	18	
#	0	19	1000	19	
#	0	20	1050	20	
#	0	21	1100	21	
#	0	22	1150	22	
#	0	23	1200	23	
#	0	24	1250	24	
#	0	25	1300	25	
#	0	26	1350	26	
#	0	27	1400	27	
#	0	28	1450	28	
#	0	29	1500	29	
#	0	30	1550	30	
#	0	31	1600	31.5	
#	0	32	1650	33	
#	0	33	1700	34.5	
#	0	34	1750	36	
#	0	35	1800	37.5	
#	0	36	1850	39	
#	0	37	1900	40.5	
#	0	38	1950	42	
#	0	39	2000	43.5	
#	0	40	2050	45	
#	0	41	2100	47	
#	0	42	2150	49	
#	0	43	2200	51	
#	0	44	2250	53	
#	0	45	2300	55	
#	0	46	2350	57	
#	0	47	2400	59	
#	0	48	2450	61	
#	0	49	2500	63	
#	0	50	2550	65	
#	0	51	2600	67.5	
#	0	52	2650	70	
#	0	53	2700	72.5	
#	0	54	2750	75	
#	0	55	2800	77.5	
#	0	56	2850	80	
#	0	57	2900	82.5	
#	0	58	2950	85	
#	0	59	3000	87.5	
#	0	60	3050	90	
#	0	61	3100	93	
#	0	62	3150	96	
#	0	63	3200	99	
#	0	64	3250	102	
#	0	65	3300	105	
#	0	66	3350	108	
#	0	67	3400	111	
#	0	68	3450	114	
#	0	69	3500	117	
#	0	70	3550	120	
#	0	71	3600	123.5	
#	0	72	3650	127	
#	0	73	3700	130.5	
#	0	74	3750	134	
#	0	75	3800	137.5	
#	0	76	3850	141	
#	0	77	3900	144.5	
#	0	78	3950	148	
#	0	79	4000	151.5	
#	0	80	4050	155	
#	0	81	4100	159	
#	0	82	4150	163	
#	0	83	4200	167	
#	0	84	4250	171	
#	0	85	4300	175	
#	0	86	4350	179	
#	0	87	4400	183	
#	0	88	4450	187	
#	0	89	4500	191	
#	0	90	4550	195	
#	0	91	4600	199	
#	0	92	4650	203	
#	0	93	4700	207	
#	0	94	4750	211	
#	0	95	4800	215	
#	0	96	4850	219	
#	0	97	4900	223	
#	0	98	4950	227	
#	0	99	5000	231	
#	0	100	0	235	
#	2	1	100	236	
#	2	2	150	237	
#	2	3	200	238	
#	2	4	250	239	
#	2	5	300	240	
#	2	6	350	241	
#	2	7	400	242	
#	2	8	450	243	
#	2	9	500	244	
#	2	10	550	245	
#	2	11	600	246	
#	2	12	650	247	
#	2	13	700	248	
#	2	14	750	249	
#	2	15	800	250	
#	2	16	850	251	
#	2	17	900	252	
#	2	18	950	253	
#	2	19	1000	254	
#	2	20	1050	255	
#	2	21	1100	256	
#	2	22	1150	257	
#	2	23	1200	258	
#	2	24	1250	259	
#	2	25	1300	260	
#	2	26	1350	261	
#	2	27	1400	262	
#	2	28	1450	263	
#	2	29	1500	264	
#	2	30	1550	265	
#	2	31	1600	266.5	
#	2	32	1650	268	
#	2	33	1700	269.5	
#	2	34	1750	271	
#	2	35	1800	272.5	
#	2	36	1850	274	
#	2	37	1900	275.5	
#	2	38	1950	277	
#	2	39	2000	278.5	
#	2	40	2050	280	
#	2	41	2100	282	
#	2	42	2150	284	
#	2	43	2200	286	
#	2	44	2250	288	
#	2	45	2300	290	
#	2	46	2350	292	
#	2	47	2400	294	
#	2	48	2450	296	
#	2	49	2500	298	
#	2	50	2550	300	
#	2	51	2600	302.5	
#	2	52	2650	305	
#	2	53	2700	307.5	
#	2	54	2750	310	
#	2	55	2800	312.5	
#	2	56	2850	315	
#	2	57	2900	317.5	
#	2	58	2950	320	
#	2	59	3000	322.5	
#	2	60	3050	325	
#	2	61	3100	328	
#	2	62	3150	331	
#	2	63	3200	334	
#	2	64	3250	337	
#	2	65	3300	340	
#	2	66	3350	343	
#	2	67	3400	346	
#	2	68	3450	349	
#	2	69	3500	352	
#	2	70	3550	355	
#	2	71	3600	358.5	
#	2	72	3650	362	
#	2	73	3700	365.5	
#	2	74	3750	369	
#	2	75	3800	372.5	
#	2	76	3850	376	
