	英雄类型	英雄职业	角色品级	升至该品需要的等级	升到当前品所需道具类型	道具ID	道具数量	所需金币	品级属性成长系数	暴击	暴伤	冷却缩减	
^MsgHeroPinJieCfg	uint32:Type	uint32:Job	uint32:PinJie	uint32:NeedLevel	uint32:PinJieKa	uint32:Cost	uint32:CostCnt	uint32:JinBi	float:Rate	[]float:Attr	:Attr	:Attr   	.key:0,1,2
#	0	1	1	0	3	101	0	5000	1	3	1	100	
#	0	1	2	10	3	101	1	6000	2	3	2	200	
#	0	1	3	20	3	101	2	7000	3	3	3	300	
#	0	1	4	30	3	101	3	8000	4	4	4	500	
#	0	1	5	40	3	101	4	9000	5	4	5	800	
#	0	1	6	50	3	101	5	10000	6	4	6	1000	
#	0	2	1	0	3	102	0	5000	1	3	1	100	
#	0	2	2	10	3	102	1	6000	2	3	2	200	
#	0	2	3	20	3	102	2	7000	3	3	3	300	
#	0	2	4	30	3	102	3	8000	4	4	4	500	
#	0	2	5	40	3	102	4	9000	5	4	5	800	
#	0	2	6	50	3	102	5	10000	6	4	6	1000	
#	0	3	1	0	3	103	0	5000	1	3	1	100	
#	0	3	2	10	3	103	1	6000	2	3	2	200	
#	0	3	3	20	3	103	2	7000	3	3	3	300	
#	0	3	4	30	3	103	3	8000	4	4	4	500	
#	0	3	5	40	3	103	4	9000	5	4	5	800	
#	0	3	6	50	3	103	5	10000	6	4	6	1000	
#	0	4	1	0	3	104	0	5000	1	3	1	100	
#	0	4	2	10	3	104	1	6000	2	3	2	200	
#	0	4	3	20	3	104	2	7000	3	3	3	300	
#	0	4	4	30	3	104	3	8000	4	4	4	500	
#	0	4	5	40	3	104	4	9000	5	4	5	800	
#	0	4	6	50	3	104	5	10000	6	4	6	1000	
#	2	1	1	0	3	101	0	5000	1	3	1	100	
#	2	1	2	10	3	101	1	6000	2	3	2	200	
#	2	1	3	20	3	101	2	7000	3	3	3	300	
#	2	1	4	30	3	101	3	8000	4	4	4	500	
#	2	1	5	40	3	101	4	9000	5	4	5	800	
#	2	1	6	50	3	101	5	10000	6	4	6	1000	
#	2	2	1	0	3	102	0	5000	1	3	1	100	
#	2	2	2	10	3	102	1	6000	2	3	2	200	
#	2	2	3	20	3	102	2	7000	3	3	3	300	
#	2	2	4	30	3	102	3	8000	4	4	4	500	
#	2	2	5	40	3	102	4	9000	5	4	5	800	
#	2	2	6	50	3	102	5	10000	6	4	6	1000	
#	2	3	1	0	3	103	0	5000	1	3	1	100	
#	2	3	2	10	3	103	1	6000	2	3	2	200	
#	2	3	3	20	3	103	2	7000	3	3	3	300	
#	2	3	4	30	3	103	3	8000	4	4	4	500	
#	2	3	5	40	3	103	4	9000	5	4	5	800	
#	2	3	6	50	3	103	5	10000	6	4	6	1000	
#	2	4	1	0	3	104	0	5000	1	3	1	100	
#	2	4	2	10	3	104	1	6000	2	3	2	200	
#	2	4	3	20	3	104	2	7000	3	3	3	300	
#	2	4	4	30	3	104	3	8000	4	4	4	500	
#	2	4	5	40	3	104	4	9000	5	4	5	800	
#	2	4	6	50	3	104	5	10000	6	4	6	1000	
