	英雄类型	英雄星级	该星级英雄的等级上限	所需英雄数量	需要的英雄星级	金币	被动技能等级	主动技能数量	星级属性成长系数	暴击	暴伤	冷却缩减
^MsgHeroStarCfg	uint32:Type	uint32:Star	uint32:LevelLimit	uint32:HeroCnt	uint32:HeroStar	uint32:JinBi	uint32:BeiDongLevel	uint32:SkillCnt	float:Rate	[]float:Attr	:Attr	:Attr   .key:0,1
#	0	1	10	1	1	50000	1	3	1	1	1	100
#	0	2	20	1	1	60000	2	3	2	2	2	200
#	0	3	30	1	1	70000	3	3	3	3	3	300
#	0	4	40	2	2	80000	4	4	4	4	4	500
#	0	5	50	2	2	90000	5	4	5	5	5	800
#	0	6	60	2	2	100000	6	4	6	6	6	1000
#	2	1	10	1	1	110000	1	3	1	1	1	100
#	2	2	20	1	1	120000	2	3	2	2	2	200
#	2	3	30	2	2	130000	3	3	3	3	3	300
#	2	4	40	2	2	140000	4	4	4	4	4	500
#	2	5	50	2	2	150000	5	4	5	5	5	800
#	2	6	60	2	2	160000	6	4	6	6	6	1000
