输出符	buffID	名称	buff类型	描述	图标_图集	图标_子图	特效资源名	特效位置	场景显示文字	文字颜色类型（1蓝2紫3橘黄4黄5红6绿）	是否判定源	相同BUFF是否共存	作用范围	持续时间	周期生效时间	叠加层数	伤害系数	成长值	绝对伤害值	成长值	按生命值上限扣除血量（百分比）	成长值	治疗系数	成长值	治疗值	成长值	治疗百分比加成	成长值	被治疗百分比加成	成长值	恢复生命值上限百分比	成长值	清除眩晕	清除静止	清除石化	清除睡眠	清除沉默	清除指定类型BUFF	攻击力	成长值	攻击力百分比	成长值	防御	成长值	防御百分比	成长值	移动速度（百分比）	成长值	血量上限	成长值	血量上限百分比	成长值	命中(万分率)	成长值	闪避(万分率)	成长值	暴击率(万分率)	成长值	暴击倍率	成长值	抗暴率(万分率)	成长值	免控率(万分率)	成长值	伤害加深百分比	成长值	伤害减免百分比	成长值	眩晕	基础概率	概率成长值	静止	基础概率	概率成长值	石化	基础概率	概率成长值	睡眠	基础概率	概率成长值	沉默	基础概率	概率成长值	免疫眩晕	基础概率	概率成长值	免疫静止	基础概率	概率成长值	免疫石化	基础概率	概率成长值	免疫睡眠	基础概率	概率成长值	免疫沉默	基础概率	概率成长值	是否免疫百分比掉血	是否免疫战斗伤害(且不显示数值)	护盾系数	成长值	护盾值	成长值	根据血量上限计算的护盾（百分比）	成长值	获得被动技能ID	替换技能	缩小buff	触发复活buff(血量百分比)	成长值	吸血(伤害百分比)	成长值	伤害反弹(伤害百分比)	成长值	周围敌方持续受到伤害（伤害值_受伤范围）	成长值	免死BUFF	无法被打醒	神圣攻击(百分比)	buff类型	连携ID	消耗层数	目标范围	目标选取	目标选取参数	buffID	目标范围	目标选取	目标选取参数	buffID
^																																																																																																																																			
#	101001	100%几率昏迷	1	使目标昏迷3秒	JiNengTuBiao	0	0	0	0	0	1	1	50	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	101002	减低速度	0	减低目标70%移动速度	JiNengTuBiao	0	0	0	0	0	1	0	50	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	101003	冰冻	0	使目标冰冻3秒	JiNengTuBiao	0	0	0	0	0	1	1	50	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	101004	恢复血量	0	恢复自身60%攻击血量	JiNengTuBiao	0	0	0	0	0	1	1	50	0.2	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	101101	增加攻击	0	增加自身20%攻击	JiNengTuBiao	0	0	0	0	0	1	0	50	999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	102001	沉默	0	使目标沉默5秒	JiNengTuBiao	0	0	0	0	0	1	1	50	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	102002	100%几率昏迷	1	使目标昏迷3秒	JiNengTuBiao	0	0	0	0	0	1	1	50	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	103001	100%几率昏迷	1	使目标昏迷3秒	JiNengTuBiao	0	0	0	0	0	1	1	50	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	103002	回血	0	恢复自身5%攻击血量	JiNengTuBiao	0	0	0	0	0	1	1	50	0.2	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
