																				1角色类型 2角色射程 3角色性别 4角色ID 5角色血量百分比 6血量最多/最少 7敌方全体 8敌方随机一人 9被碰撞单体 10阵营	多个用下划线隔开1.1力量2敏捷3智力 2.0近1远 3.0无1男2女 4.ID 5.浮点数配-1至1；负数为小于等于，正数为大于等于 6.0少1多；10.0中立1正派2反派	1角色类型 2角色射程 3角色性别 4角色ID 5角色血量百分比 6血量最多/最少 7我方全体 8我方随机一人 9施法者 10阵营	多个用下划线隔开1.1力量2敏捷3智力 2.0近1远 3.0无1男2女 4.ID 5.浮点数配-1至1；负数为小于等于，正数为大于等于 6.0少1多 10.0中立1正派2反派	1.物理 2.魔法 3.治疗											1角色类型 2角色射程 3角色性别 4角色ID 5角色血量百分比 6血量最多/最少 7敌方全体 8敌方随机一人 9被碰撞单体	多个用下划线隔开1.1力量2敏捷3智力 2.0近1远 3.0女1男 4.ID 5.浮点数配-1至1；负数为小于等于，正数为大于等于 6.0少1多；	(1_1001:10000|2_1002:10000|3_1003:10000)		(1_1|2_2|3_1)	(1_1|2_2|3_1)				单位米			单位秒			
输出符	ID	名称	描述	编译器生成信息路径	图标_图集	图标_子图	喊话	喊话概率	冷却时间	技能释放方式(1.常规；2持续施法；3召唤)	是否跟随目标旋转	释放技能增加能量	无敌结束时间	免疫受控开始时间(以技能开始点计算，0:全程可打断	技能最小释放半径	技能最大释放半径	连招技能组	释放所需能量	包围体碰撞类（1对敌，2对己）	对敌包围体目标筛选	伤害包围体目标筛选参数	对己包围体碰撞目标筛选	对己包围体碰撞目标筛选参数	技能类型	技能系数	系数成长值	技能固定值	固定值成长系数	非碰撞对己BUFFID:概率	对己目标范围	对己目标选取	对己选取参数	对己添加BUFFid:概率	对己目标范围	对己目标选取	对己选取参数	编号包围体id_对己添加BUFFid:概率	编号包围体对己目标范围	编号包围体对己目标选取	编号包围体对己选取参数	召唤类型：0.无 1.武将 2.怪物	召唤数据（支持多条配置）：召唤的ID,数量,AI类型;	是否通过技能事件召唤（控制召唤时间点，怪物召唤只能通过技能事件）	随机半径（内径_外径_角度（为正是从前方开始，为负是从正后方开始））	继承主角属性衰减系数	衰减系数成长值	召唤持续时间	追踪目标选取	目标筛选参数	追踪范围
^																																																		
#	1010101	冰之锤	对前方范围造成{0}%攻击伤害，并有{1}%的几率让目标昏迷{2}秒	Role_Gray/Skill_A	JiNengTuBiao	R01_A	0	0	3	1	1	0	0	0	6	8	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	101001:10000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010102	冰之指节	对前方范围造成{0}%攻击伤害，并降低目标{1}%的移动速度，持续{2}秒	Role_Gray/Skill_C	JiNengTuBiao	R01_A	0	0	3	1	1	0	0	0	6	8	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	101002:10000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010103	冰雪炮	对前方直线范围造成{0}%攻击伤害	Role_Gray/Skill_D	JiNengTuBiao	R01_A	0	0	3	1	1	0	0	0	6	8	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010104	冰欠泉	对敌方造成{0}%攻击伤害，且冰冻目标{1}秒；同时恢复自身{2}%攻击等量生命	Role_Gray/Skill_B	JiNengTuBiao	R01_B	0	0	3	1	1	0	0	0	8	10	0	0	1	7	0	0	0	1	2.00155	0	0	0	101004:10000	11	0	0	101003:10000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010106	普攻	无	Role_Gray/Attack_A	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	6	8	1010106_1010107_1010108	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010107	普攻	无	Role_Gray/Attack_B	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	6	8	1010106_1010107_1010108	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010108	普攻	无	Role_Gray/Attack_C	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	6	8	1010106_1010107_1010108	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010201	露西飞踢	对目标造成{0}%攻击伤害	Role_Lucy/Skill_A	JiNengTuBiao	R01_A	0	0	3	1	1	0	0	0	6	10	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
