玩家最大等级表示领取该奖励的区间，为(上行等级,本行等级]					
	ID	玩家最大等级	奖励1	奖励2	奖励3
^MsgTripAward	sint32:Id	[]MsgAwardCell:Awards.Lv	:Awards.Award	:Awards.Award	:Awards.Sp  .multi:Awards
#	1001	40	3_FZHB002_27000	3_TFHB001_20	0
#	1001	45	3_FZHB002_29000	3_TFHB001_20	0
#	1001	50	3_FZHB002_31000	3_TFHB001_20	0
#	1001	55	3_FZHB002_32000	3_TFHB001_20	0
#	1001	60	3_FZHB002_34000	3_TFHB001_20	0
#	1001	65	3_FZHB002_36000	3_TFHB001_20	0
#	1001	70	3_FZHB002_38000	3_TFHB001_20	0
#	1001	75	3_FZHB002_40000	3_TFHB001_20	0
#	1001	80	3_FZHB002_42000	3_TFHB001_20	0
#	1001	85	3_FZHB002_45000	3_TFHB001_20	0
#	1001	90	3_FZHB002_48000	3_TFHB001_20	0
#	1001	95	3_FZHB002_52000	3_TFHB001_20	0
#	1001	100	3_FZHB002_56000	3_TFHB001_20	0
#	1001	105	3_FZHB002_60000	3_TFHB001_20	0
#	1001	110	3_FZHB002_65000	3_TFHB001_20	0
#	1001	115	3_FZHB002_70000	3_TFHB001_20	0
#	1001	120	3_FZHB002_75000	3_TFHB001_20	0
#	1001	125	3_FZHB002_80000	3_TFHB001_20	0
#	1001	130	3_FZHB002_85000	3_TFHB001_20	0
#	1001	135	3_FZHB002_90000	3_TFHB001_20	0
#	1001	140	3_FZHB002_95000	3_TFHB001_20	0
#	1001	145	3_FZHB002_100000	3_TFHB001_20	0
#	1001	150	3_FZHB002_105000	3_TFHB001_20	0
#	1001	155	3_FZHB002_110000	3_TFHB001_20	0
#	1001	160	3_FZHB002_115000	3_TFHB001_20	0
#	1001	165	3_FZHB002_120000	3_TFHB001_20	0
#	1001	170	3_FZHB002_124000	3_TFHB001_20	0
#	1001	175	3_FZHB002_129000	3_TFHB001_20	0
#	1001	180	3_FZHB002_134000	3_TFHB001_20	0
#	1001	185	3_FZHB002_139000	3_TFHB001_20	0
#	1001	190	3_FZHB002_144000	3_TFHB001_20	0
#	1001	195	3_FZHB002_149000	3_TFHB001_20	0
#	1001	200	3_FZHB002_154000	3_TFHB001_20	0
#	1001	205	3_FZHB002_159000	3_TFHB001_20	0
#	1001	210	3_FZHB002_164000	3_TFHB001_20	0
#	1001	215	3_FZHB002_169000	3_TFHB001_20	0
#	1001	220	3_FZHB002_174000	3_TFHB001_20	0
#	1001	225	3_FZHB002_179000	3_TFHB001_20	0
#	1001	230	3_FZHB002_184000	3_TFHB001_20	0
#	1001	235	3_FZHB002_189000	3_TFHB001_20	0
#	1001	240	3_FZHB002_194000	3_TFHB001_20	0
#	1001	245	3_FZHB002_199000	3_TFHB001_20	0
#	1001	9999	3_FZHB002_204000	3_TFHB001_20	0
#	1002	40	3_FZHB002_27000	3_TFHB001_23	0
#	1002	45	3_FZHB002_29000	3_TFHB001_23	0
#	1002	50	3_FZHB002_31000	3_TFHB001_23	0
#	1002	55	3_FZHB002_33000	3_TFHB001_23	0
